Date,SIBT,ALDT,AIBT,Flight In,A/C Type,Flight Out,SOBT,AOBT,ATOT,Original Bay,Original Gate,Final Bay,Bay History 1,Bay Reason 1,Gate History 1,Gate Reason 1,Bay History 2,Bay Reason 2,Gate History 2,Gate Reason 2,Bay History 3,Bay Reason 3,Gate History 3,Gate Reason 3,Bay History 4,Bay Reason 4,Gate History 4,Gate Reason 4,Bay History 5,Bay Reason 5,Gate History 5,Gate Reason 5
3/26/2026,10:40/26,,,DV 5202,763,DV 5204,12:15/26,,,15,81,16,16,Stand Occ,81,,,,,,,,,,,,,,,,,
3/26/2026,10:50/26,,,AK 832,320,AK 833,11:30/26,,,10,10I,14,14,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/26/2026,11:20/26,,,CX 787,32Q,CX 770,12:20/26,,,16,81I,11,11,Contact Avail,81I,,,,,,,,,,,,,,,,,
3/26/2026,11:40/26,,,DV 5242,7M9,DV 5249,13:45/26,,,14,82I,16,16,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/26/2026,11:40/26,,,IX 938,7M8,IX 937,12:40/26,,,32L,82I,15,15,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/26/2026,12:30/26,,,6E 1077,32N,6E 1076,13:30/26,,,16,81I,32L,32L,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/26/2026,12:30/26,,,OD 540,7M8,OD 541,13:20/26,,,15,82,32L,32L,Stand Occ,82,,,,,,,,,,,,,,,,,
3/26/2026,12:45/26,,,CA 413,32Q,CA 414,14:00/26,,,32R,83,32R,,,83,Gate Congestion,,,,,,,,,,,,,,,,
3/26/2026,12:50/26,,,FD 3091,320,FD 3092,13:20/26,,,3,7,7,7,Contact Avail,7,,,,,,,,,,,,,,,,,
3/26/2026,13:00/26,,,AK 824,320,AK 825,13:35/26,,,32L,83I,15,15,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/26/2026,13:10/26,,,VJ 809,321,VJ 808,14:10/26,,,33L,10,10,32L,Stand Occ,82I,,10,Contact Avail,10,,,,,,,,,,,,,
3/26/2026,13:15/26,,,JQ 071,32Q,JQ 072,14:45/26,,,2,83I,33L,33L,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/26/2026,13:35/26,,,SL 756,738,SL 757,14:25/26,,,7,5,5,5,Stand Occ,5,,,,,,,,,,,,,,,,,
3/26/2026,13:45/26,,,FD 4110,320,FD 4111,14:20/26,,,4,7,7,7,Stand Occ,7,,,,,,,,,,,,,,,,,
3/26/2026,14:10/26,,,FD 3005,320,FD 3006,14:40/26,,,5,6,6,6,Stand Occ,6,,,,,,,,,,,,,,,,,
3/26/2026,14:15/26,,,PG 273,320,PG 274,15:00/26,,,6,83,2,2,Stand Occ,83,,,,,,,,,,,,,,,,,
3/26/2026,15:40/26,,,VZ 2300,320,VZ 2301,16:10/26,,,5,84D,1,1,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/26/2026,15:50/26,,,FD 4112,320,FD 4113,16:20/26,,,2,84D,6,6,Contact Avail,84D,,,,,,,,,,,,,,,,,
3/26/2026,15:50/26,,,TK 172,333,TK 173,22:25/26,,,33,12,10>33@1720,10 > 33 @ 1720,Others,12,,,Others,12,,,,,,,,,,,,,
3/26/2026,16:25/26,,,CZ 6063,320,CZ 6064,17:25/26,,,10,10I,12,12,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/26/2026,16:40/26,,,FD 3017,32Q,FD 3018,17:25/26,,,3,84I,2,2,Stand Occ,84I,,,,,,,,,,,,,,,,,
3/26/2026,16:45/26,,,AK 820,320,AK 821,17:20/26,,,12,12,09I,09I,Stand Occ,12,,,,,,,,,,,,,,,,,
3/26/2026,16:50/26,,,PG 401,AT7,PG 404,17:30/26,,,2,83D,3,3,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/26/2026,17:30/26,,,FD 3021,32Q,FD 3022,18:05/26,,,4,04I,5,5,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/26/2026,17:35/26,,,MH 790,738,MH 791,18:20/26,,,8,12,12,12,Stand Occ,12,,,,,,,,,,,,,,,,,
3/26/2026,17:50/26,,,SL 760,738,SL 761,18:40/26,,,5,05I,4,4,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/26/2026,18:05/26,,,VZ 416,320,VZ 762,21:15/26,,,16,83I,3,3,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/26/2026,18:10/26,,,FD 613,320,FD 3167,18:55/26,,,3,7,7,8,Contact Avail,8,,7,Stand Occ,7,,,,,,,,,,,,,
3/26/2026,18:25/26,,,OD 542,7M8,OD 543,19:25/26,,,9,8,8,14,Stand Occ,09I,,8,Stand Occ,8,,,,,,,,,,,,,
3/26/2026,18:30/26,,,AK 826,320,AK 827,19:10/26,,,14,15,15,15,Stand Occ,15,,,,,,,,,,,,,,,,,
3/26/2026,19:05/26,,,PG 277,320,PG 278,19:50/26,,,7,5,5,5,Stand Occ,5,,,,,,,,,,,,,,,,,
3/26/2026,19:15/26,,,FD 3009,32Q,FD 3010,20:00/26,,,5,4,4,7,Stand Occ,7,,4,Stand Occ,4,,,,,,,,,,,,,
3/26/2026,19:20/26,,,TR 652,321,TR 653,20:20/26,,,32L,14,14,9,Contact Avail,9,,14,Stand Occ,14,,,,,,,,,,,,,
3/26/2026,19:25/26,,,SQ 740,7M8,SQ 739,20:15/26,,,15,8,8,8,Stand Occ,8,,,,,,,,,,,,,,,,,
3/26/2026,19:30/26,,,AI 2376,32N,AI 2377,20:30/26,,,12,7,7,7,Stand Occ,7,,,,,,,,,,,,,,,,,
3/26/2026,19:35/26,,,FD 3171,320,FD 8163,07:30/27,,,3,84D,16,16,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/26/2026,19:40/26,,,EK 396,77W,EK 397,23:50/26,,,14,81I,09>31 @2100,09 > 31 @ 2130,Others,81I,,09 > 31 @ 2100,Others,81I,,,,,,,,,,,,,
3/26/2026,20:00/26,,,TG 221,32Q,TG 222,20:40/26,,,4,6,6,6,Stand Occ,6,Gate Congestion,,,,,,,,,,,,,,,,
3/26/2026,20:00/26,,,SL 762,739,SL 763,21:00/26,,,9,5,5,5,Stand Occ,5,,,,,,,,,,,,,,,,,
3/26/2026,20:10/26,,,VZ 2304,321,VZ 2305,20:40/26,,,6,06D,4,4,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/26/2026,20:25/26,,,FD 4114,320,FD 4115,21:00/26,,,5,4,4,4,Stand Occ,4,,,,,,,,,,,,,,,,,
3/26/2026,21:10/26,,,PG 279,319,PG 280,21:50/26,,,4,04I,6,6,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/26/2026,21:20/26,,,CA 797,738,CA 798,22:35/26,,,33R,84I,2,2,Stand Occ,84I,,,,,,,,,,,,,,,,,
3/26/2026,21:45/26,,,6E 1089,32Q,6E 1090,22:50/26,,,16,83I,15,15,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/26/2026,22:00/26,,,FM 857,7M8,FM 858,23:05/26,,,15,82I,3,3,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/26/2026,22:10/26,,,HO 1369,320,HO 1370,23:25/26,,,40,81I,38,38,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/26/2026,22:20/26,,,SU 643,77W,SU 635,23:55/26,,,14,14,14,11,Stand Occ,14,,14,Stand Occ,14,,,,,,,,,,,,,
3/26/2026,22:25/26,,,QR 826,351,QR 826,,,,11,,11,14,Stand Occ,,,11,Stand Occ,,,,,,,,,,,,,,
3/26/2026,22:40/26,,,FD 3015,320,FD 3016,23:10/26,,,6,06I,5,5,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/26/2026,22:45/26,,,FM 831,738,FM 832,00:05/27,,,12,82I,34R,34R,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/26/2026,23:00/26,,,PG 287,319,PG 270,07:45/27,,,8,08I,7,7,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/26/2026,23:45/26,,,3U 3929,321,3U 3930,08:35/27,,,35,81I,37,37,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/27/2026,02:51/27,,,6E1031,A321,6E1031,04:42/27,,,15,15,15,,,,Gate Congestion,,,,,,,,,,,,,,,,
3/27/2026,08:25/27,,,VZ 314,321,VZ 315,08:55/27,,,4,5,5,5,Stand Occ,5,,,,,,,,,,,,,,,,,
3/27/2026,08:30/27,,,FD 3160,320,FD 3159,09:00/27,,,5,4,4,4,Stand Occ,4,,,,,,,,,,,,,,,,,
3/27/2026,09:10/27,,,TG 201,320,TG 202,09:50/27,,,7,07I,4,4,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/27/2026,09:25/27,,,TG 203,320,TG 204,10:25/27,,,5,05I,6,6,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/27/2026,09:35/27,,,PG 271,320,PG 272,10:15/27,,,4,04I,5,5,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/27/2026,10:05/27,,,6E 1071,32Q,6E 1072,11:05/27,,,16,83I,8,8,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/27/2026,10:10/27,,,SQ 728,7M8,SQ 727,11:05/27,,,34R,82I,7,7,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/27/2026,10:35/27,,,SL 758,738,SL 759,11:35/27,,,7,07D,5,5,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/27/2026,11:20/27,,,CX 787,333,CX 770,12:20/27,,,12,12,8,8,Stand Occ,12,,,,,,,,,,,,,,,,,
3/27/2026,11:35/27,,,6E 1087,32N,6E 1088,12:35/27,,,40,83I,12,12,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/27/2026,11:40/27,,,SL 754,738,SL 755,12:15/27,,,8,08I,6,6,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/27/2026,11:40/27,,,IX 938,7M8,IX 937,12:40/27,,,16,84I,9,9,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/27/2026,12:50/27,,,FD 3091,32Q,FD 3092,13:20/27,,,2,84I,7,7,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/27/2026,13:00/27,,,TG 207,320,TG 208,13:40/27,,,6,06I,8,8,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/27/2026,13:10/27,,,VJ 809,321,VJ 808,14:10/27,,,16,81I,37,37,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/27/2026,13:35/27,,,SL 756,738,SL 757,14:25/27,,,8,08I,6,6,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/27/2026,13:45/27,,,FD 4110,320,FD 4111,14:20/27,,,7,84D,2,2,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/27/2026,14:15/27,,,PG 273,320,PG 274,15:00/27,,,5,05I,8,8,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/27/2026,14:35/27,,,PG 1405,AT7,PG 1406,15:05/27,,,2,83D,3,3,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/27/2026,14:40/27,,,PG 281,AT7,PG 282,15:10/27,,,3,83D,2,16,Stand Occ,83D,,2,Stand Occ,83D,,,,,,,,,,,,,
3/27/2026,15:50/27,,,TK 172,333,TK 173,22:25/27,,,32,83I,32>10@2030,09 > 32 @ 1700,Others,83I,,32 > 10 @ 2030,Others,83I,,,,,,,,,,,,,
3/27/2026,16:10/27,,,EO 3483,772,EO 3524,20:10/27,,,31,82I,33,33,,82I,,,,,,,,,,,,,,,,,
3/27/2026,16:20/27,,,SL 766,738,SL 767,16:55/27,,,6,06I,8,8,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/27/2026,16:30/27,,,CA 821,333,CA 822,18:25/27,,,11,11I,12,12,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/27/2026,16:35/27,,,AK 820,320,AK 821,17:05/27,,,9,09I,10,10,Stand Occ,09I,,,,,,,,,,,,,,,,,
3/27/2026,16:40/27,,,FD 3017,32Q,FD 3018,17:25/27,,,5,05I,6,6,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/27/2026,17:10/27,,,SQ 736,7M8,SQ 735,18:00/27,,,10,10I,14,14,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/27/2026,17:35/27,,,CX 773,333,CX 778,18:35/27,,,14,14,10,10,Stand Occ,14,,,,,,,,,,,,,,,,,
3/27/2026,18:00/27,,,SL 760,738,SL 761,18:40/27,,,7,07I,5,5,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/27/2026,18:05/27,,,WY 831,7M8,WY 832,19:10/27,,,16,82I,11,11,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/27/2026,18:30/27,,,AK 826,320,AK 827,19:10/27,,,10,10I,12,11,Stand Occ,10I,,12,Stand Occ,10I,,,,,,,,,,,,,
3/27/2026,18:40/27,,,QZ 246,320,QZ 247,19:30/27,,,37,84I,10,10,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/27/2026,19:40/27,,,EK 396,77W,EK 397,23:50/27,,,10,10I,12,12,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/27/2026,21:05/27,,,DD 534,738,DD 535,21:40/27,,,6,06D,9,9,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/27/2026,21:20/27,,,CA 797,738,CA 798,22:35/27,,,12,12,9,9,Stand Occ,12,,,,,,,,,,,,,,,,,
3/27/2026,21:45/27,,,6E 1089,32Q,6E 1090,22:50/27,,,35,82I,15,15,,82I,,,,,,,,,,,,,,,,,
3/27/2026,21:50/27,,,FD 4419,320,FD 4420,22:20/27,,,5,05D,6,6,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/27/2026,22:45/27,,,FM 831,7M8,FM 832,00:05/28,,,15,15,10,10,,15,,,,,,,,,,,,,,,,,
3/27/2026,23:20/27,,,SL 770,738,SL 771,07:55/28,,,6,06D,4,4,Stand Occ,06D,,,,06D,,,,,,,,,,,,,
3/27/2026,23:45/27,,,DD 536,738,DD 539,06:45/28,,,4,04D,9,9,Stand Occ,04D,,,,04D,,,,,,,,,,,,,
3/28/2026,06:25/28,,,6B 355,787,6B 238,16:05/28,,,10,10I,10>31@0700,10 > 31 @ 0700,Others,10I,,,,,,,,,,,,,,,,,
3/28/2026,07:05/28,,,TK 166,789,TK 167,08:35/28,,,9,09I,9,,,,Gate Congestion,,,,,,,,,,,,,,,,
3/28/2026,07:50/28,,,SQ 724,7M8,SQ 723,08:40/28,,,16,8,8,8,Contact Avail,8,,,,,,,,,,,,,,,,,
3/28/2026,08:00/28,,,FD 197,320,FD 3038,08:55/28,,,2,84I,3,3,Stand Occ,84I,,,,,,,,,,,,,,,,,
3/28/2026,08:10/28,,,SU 278,77W,SU 279,10:10/28,,,33,10,10,10,Contact Avail,10,,,,,,,,,,,,,,,,,
3/28/2026,08:25/28,,,VZ 314,321,VZ 315,08:55/28,,,6,06I,6,7,Stand Occ,7,,,,,,,,,,,,,,,,,
3/28/2026,08:30/28,,,FD 3160,320,FD 3159,09:00/28,,,5,7,7,5,Stand Occ,5,,7,,7,,,,,,,,,,,,,
3/28/2026,08:45/28,,,FD 3034,320,FD 3035,09:20/28,,,7,5,5,5,,5,,,,,,,,,,,,,,,,,
3/28/2026,08:50/28,,,WY 833,7M8,WY 834,10:25/28,,,15,15,15,9,Stand Occ,12,,,,,,,,,,,,,,,,,
3/28/2026,09:00/28,,,AY 151,359,AY 152,10:45/28,,,12,12,9,9,,12,,,,,,,,,,,,,,,,,
3/28/2026,09:00/28,,,SLF201,GF5,SLF202,16:00/28,,,51,,51,7,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/28/2026,09:10/28,,,TG 201,320,TG 202,09:50/28,,,8,08I,7,7,,08I,,,,,,,,,,,,,,,,,
3/28/2026,09:15/28,,,PG 251,AT7,PG 252,09:45/28,,,2,83D,2,8,Stand Occ,10I,,,,83D,,,,,,,,,,,,,
3/28/2026,09:15/28,,,SQ 726,7M8,SQ 725,10:05/28,,,10,10I,8,5,Stand Occ,06I,,8,,10I,,,,,,,,,,,,,
3/28/2026,09:25/28,,,TG 203,320,TG 204,10:25/28,,,6,06I,5,6,Stand Occ,04D,,5,,06I,,,,,,,,,,,,,
3/28/2026,09:30/28,,,FD 4124,320,FD 4125,10:00/28,,,4,04D,6,16,Stand Occ,83I,,6,,84I,Gate Congestion,,,04D,,,,,,,,,
3/28/2026,09:30/28,,,KC 563,763,KC 564,10:45/28,,,9,84I,16,4,Stand Occ,05I,,16,,84I,,,,,,,,,,,,,
3/28/2026,09:35/28,,,PG 271,320,PG 272,10:15/28,,,5,05I,4,4,,05I,,,,,,,,,,,,,,,,,
3/28/2026,09:45/28,,,VJT286,CCX,,,,,52,,52,12,Contact Avail,81I,,,,,,,,,,,,,,,,,
3/28/2026,09:50/28,,,MH 786,738,MH 787,10:30/28,,,16,81I,12,37,Stand Occ,81I,,12,,81I,,,,,,,,,,,,,
3/28/2026,09:55/28,,,TR 678,321,TR 679,10:55/28,,,14,81i,37,37,,81I,,,,,,,,,,,,,,,,,
3/28/2026,10:05/28,,,6E 1071,32Q,6E 1072,11:05/28,,,39,83I,39,38,Stand Occ,82I,,,,83I,,,,,,,,,,,,,
3/28/2026,10:10/28,,,SQ 728,7M8,SQ 727,11:05/28,,,8,82I,38,38,,81I,Gate Congestion,,,82I,,,,,,,,,,,,,
3/28/2026,10:20/28,,,PG 407,AT7,PG 254,11:00/28,,,3,83D,3,14,Stand Occ,11I,,,,83D,,,,,,,,,,,,,
3/28/2026,10:20/28,,,SU 284,77W,SU 285,12:10/28,,,11,11I,14,12,Stand Occ,10I,,9,Stand Occ,09I,,14,,11I,,,,,,,,,
3/28/2026,10:35/28,,,SU 628,333,SU 629,12:20/28,,,10,09I,9,9,,09I,,,,,,,,,,,,,,,,,
3/28/2026,10:35/28,,,SL 758,738,SL 759,11:35/28,,,4,04I,4,11,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/28/2026,10:40/28,,,ZF 2971,75W,ZF 2948,12:15/28,,,38,84I,11,11,,84I,,,,,,,,,,,,,,,,,
3/28/2026,10:55/28,,,DD 524,738,DD 525,11:25/28,,,5,05D,5,10,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/28/2026,11:00/28,,,SU 638,77W,SU 637,13:10/28,,,33,83I,10,10,,83I,,,,,,,,,,,,,,,,,
3/28/2026,11:20/28,,,CX 787,32Q,CX 770,12:20/28,,,16,83I,33R,33R,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/28/2026,11:20/28,,,SL 768,738,SL 102,12:25/28,,,1,81I,1,33L,Stand Occ,84I,,9,Contact Avail,09I,,12,Stand Occ,12,,,,81I,,,,,
3/28/2026,11:30/28,,,6E 9454,32Q,6E 1074,12:35/28,,,9,12,12,15,Contact Avail,82I,,8,Stand Occ,08I,,12,,12,,,,,,,,,
3/28/2026,11:35/28,,,6E 1087,32N,6E 1088,12:35/28,,,35,08I,8,4,Stand Occ,04I,,8,,08I,,,,,,,,,,,,,
3/28/2026,11:40/28,,,SL 754,738,SL 755,12:15/28,,,8,04I,4,37,Stand Occ,82I,,4,,04I,,,,,,,,,,,,,
3/28/2026,11:40/28,,,IX 938,7M8,IX 937,12:40/28,,,14,82i,16,33L,Stand Occ,81I,,37,,82I,,16,Stand Occ,82I,,,,,,,,,
3/28/2026,11:45/28,,,KC 603,32Q,KC 604,13:50/28,,,40,81I,33L,33L,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/28/2026,11:50/28,,,VZ 304,321,VZ 305,12:25/28,,,3,05D,5,5,Contact Avail,05D,,,,,,,,,,,,,,,,,
3/28/2026,12:05/28,,,EK 378,77W,EK 379,19:05/28,,,32,82I,9,9,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/28/2026,12:25/28,,,SU 276,77W,SU 277,14:30/28,,,12,81I,32,32,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/28/2026,12:30/28,,,OD 540,7M8,OD 541,13:20/28,,,11,83I,38,38,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/28/2026,12:50/28,,,CA 413,32Q,CA 414,14:00/28,,,10,83i,40,40,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/28/2026,12:50/28,,,FD 3091,32N,FD 3092,13:20/28,,,6,05D,5,5,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/28/2026,12:50/28,,,VZ 414,320,VZ 417,13:25/28,,,5,06D,6,6,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/28/2026,13:00/28,,,TG 207,320,TG 208,13:40/28,,,8,04I,4,4,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/28/2026,13:10/28,,,VJ 809,321,VJ 808,14:10/28,,,9,14,14,14,Stand Occ,14,,,,,,,,,,,,,,,,,
3/28/2026,13:15/28,,,9C 8521,320,9C 8522,14:15/28,,,14,82I,35,35,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/28/2026,13:15/28,,,JQ 071,32Q,JQ 072,14:45/28,,,16,09I,9,9,Contact Avail,09I,,,,,,,,,,,,,,,,,
3/28/2026,13:25/28,,,SU 660,32Q,SU 661,14:35/28,,,37,08I,RTB 40,8,Contact Avail,08I,,RTB 40,Technical,,,,,,,,,,,,,,
3/28/2026,13:35/28,,,SL 756,738,SL 757,14:25/28,,,7,06D,6,6,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/28/2026,13:45/28,,,FD 4110,320,FD 4111,14:20/28,,,4,07D,7,7,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/28/2026,14:15/28,,,PG 273,320,PG 274,15:00/28,,,6,04I,4,4,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/28/2026,15:00/28,,,FD 3025,320,FD 3026,15:30/28,,,4,07I,7,7,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/28/2026,15:25/28,,,TG 211,320,TG 212,16:05/28,,,8,08I,6,6,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/28/2026,15:25/28,,,J2 4043,7M8,J2 4044,16:25/28,,,16,11I,11,11,Contact Avail,11I,,,,,,,,,,,,,,,,,
3/28/2026,15:35/28,,,CA 717,320,CA 718,17:00/28,,,11,11I,14,14,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/28/2026,15:35/28,,,QP 618,7M8,QP 619,16:45/28,,,14,81I,37,37,Stand Occ,82I,,,,81I,Gate Congestion,,,,,,,,,,,,
3/28/2026,15:35/28,,,QP 623,7M8,QP 624,17:05/28,,,9,83I,38,38,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/28/2026,15:45/28,,,MH 794,7M8,MH 795,16:55/28,,,38,81I,8,8,Contact Avail,81I,,,,,,,,,,,,,,,,,
3/28/2026,16:40/28,,,DK 2524,339,DK 2525,18:45/28,,,34,81I,34,,,81I,Gate Congestion,,,,,,,,,,,,,,,,
3/28/2026,16:50/28,,,PG 401,AT7,PG 404,17:30/28,,,1,83D,2,2,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/28/2026,17:00/28,,,VZ 306,738,VZ 307,17:30/28,,,3,84I,4,4,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/28/2026,17:10/28,,,SQ 736,7M8,SQ 735,18:00/28,,,14,14,11,11,Stand Occ,14,,,,,,,,,,,,,,,,,
3/28/2026,17:20/28,,,SL 103,738,SL 769,18:15/28,,,9,09I,8,8,Stand Occ,09I,,,,,,,,,,,,,,,,,
3/28/2026,17:30/28,,,FD 3021,32Q,FD 3022,18:05/28,,,4,04I,6,6,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/28/2026,17:35/28,,,MH 790,738,MH 791,18:20/28,,,11,11I,14,14,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/28/2026,17:40/28,,,DD 530,738,DD 531,18:20/28,,,5,05D,7,7,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/28/2026,17:50/28,,,SL 760,738,SL 761,18:40/28,,,7,07I,5,5,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/28/2026,18:30/28,,,AK 826,320,AK 827,19:10/28,,,14,10,10,10,Stand Occ,10,,,,,,,,,,,,,,,,,
3/28/2026,18:35/28,,,MU 5093,738,MU 5094,19:35/28,,,8,08I,CNL,CNL,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/28/2026,18:40/28,,,EO 3523,772,EO 3520,02:30/29,,,31,81I,8,34,Stand Occ,81I,,8,Contact Avail,81I,,,,,,,,,,,,,
3/28/2026,19:05/28,,,PG 277,320,PG 278,19:50/28,,,4,8,8,8,Stand Occ,8,,,,,,,,,,,,,,,,,
3/28/2026,19:15/28,,,PG 257,AT7,PG 258,19:55/28,,,3,83D,1,1,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/28/2026,19:35/28,,,FD 3171,320,FD 9161,09:30/29,,,35,84D,38,38,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/28/2026,19:40/28,,,EK 396,77W,EK 397,23:50/28,,,34,14,14,14,Contact Avail,14,,,,,,,,,,,,,,,,,
3/28/2026,20:00/28,,,PG 403,AT7,PG 298,20:35/28,,,1,83D,2,2,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/28/2026,20:00/28,,,TG 221,32Q,TG 222,20:40/28,,,8,7,7,7,Stand Occ,7,,,,,,,,,,,,,,,,,
3/28/2026,20:20/28,,,SL 762,738,SL 763,21:10/28,,,7,8,8,8,Stand Occ,8,,,,,,,,,,,,,,,,,
3/28/2026,20:40/28,,,S7 6321,73H,S7 6322,21:40/28,,,14,84,39,39,Stand Occ,84,,,,,,,,,,,,,,,,,
3/28/2026,20:50/28,,,VZ 308,320,VZ 309,21:15/28,,,3,4,4,4,Contact Avail,4,,,,,,,,,,,,,,,,,
3/28/2026,21:05/28,,,DD 532,738,DD 533,21:35/28,,,6,10,10,10,Stand Occ,10,,,,,,,,,,,,,,,,,
3/28/2026,21:10/28,,,PG 279,319,PG 280,21:50/28,,,8,6,6,6,Stand Occ,6,,,,,,,,,,,,,,,,,
3/28/2026,22:10/28,,,HO 1369,320,HO 1370,23:25/28,,,12,81,37,34R,Stand Occ,81,,37,Stand Occ,81,,,,,,,,,,,,,
3/28/2026,22:10/28,,,KE 677,333,KE 678,23:40/28,,,14,12,12,12,Stand Occ,12,,,,,,,,,,,,,,,,,
3/28/2026,22:45/28,,,FM 831,7M8,FM 832,00:20/29,,,15,84I,39,39,Stand Occ,84I,,,,,,,,,,,,,,,,,
3/28/2026,23:00/28,,,PG 287,319,PG 270,07:35/29,,,3,83D,7,7,Contact Avail,83D,,,,,,,,,,,,,,,,,
3/28/2026,23:25/28,,,FD 3168,320,FD 3036,06:30/29,,,32R,84D,3,3,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/29/2026,07:25/29,,,AK 8553,32X,AK 8554,08:25/29,,,2,,3,3,Stand Occ,,,,,,,,,,,,,,,,,,
3/29/2026,07:25/29,,,AI 2378,32N,AI 2379,08:25/29,,,10,82I,38,38,Stand Occ,83I,,,,82I,Gate Congestion,,,,,,,,,,,,
3/29/2026,07:45/29,,,DE 2368,339,DE 2369,10:00/29,,,12,10,10,10,Fac INOP,10,,,,,,,,,,,,,,,,,
3/29/2026,08:35/29,,,SQ 746,7M8,SQ 725,09:25/29,,,15,15,9,9,Stand Occ,15,,,,,,,,,,,,,,,,,
3/29/2026,08:45/29,,,SU 278,773,SU 265,10:35/29,,,10,10I,12,12,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/29/2026,09:00/29,,,PG 251,ATR,PG 252,09:35/29,,,3,83D,1,1,,83D,,,,83D,,,,,,,,,,,,,
3/29/2026,09:30/29,,,FD 4124,320,FD 4125,10:15/29,,,2,4,4,4,Contact Avail,4,,,,,,,,,,,,,,,,,
3/29/2026,09:45/29,,,SL 758,738,SL 759,10:45/29,,,4,83,2,2,Stand Occ,83,,,,,,,,,,,,,,,,,
